radar_key,distance,x,thickness,easting,northing,elevation,time,part_idx,elevation_date,antenna,date_str,temperate,thickness_user_lower,thickness_user_upper,thickness_user_std,thickness_user_nmad,thickness_user_count,thickness_gpr_uncertainty,thickness_gnss_uncertainty,thickness_nmad,thickness_std,thickness_lower,thickness_upper,temperate_user_lower,temperate_user_upper,temperate_user_std,temperate_user_nmad,temperate_user_count,temperate_user_temperate_line_count,temperate_gpr_uncertainty,temperate_gnss_uncertainty,temperate_nmad,temperate_std,temperate_lower,temperate_upper,temperate_frac,temperate_frac_std,bed_type,bed_elevation,temperate_elevation,geometry,glacier
dronbreen-20220329-DAT_0249_A1_1,0.0,0,104.52971649169922,541271.1084111038,8672192.518090101,446.2563781738281,2022-03-29 14:54:59+00:00,0,2022-05-03,100 MHz,20220329,0.0,104.52971649169922,104.52971649169922,,0.0,1,2.107402346950863,1.316083576553522,2.4845966739911565,2.4845966739911565,102.04511981770806,107.01431316569038,0.0,0.0,,0.0,1.0,0.0,2.107402346950863,1.216197256747903,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,341.7266616821289,341.7266616821289,POINT (541271.1084111038 8672192.518090101),dronbreen
dronbreen-20220329-DAT_0249_A1_1,5.0,7,103.3833236694336,541275.538724912,8672190.110747032,446.1893005371094,2022-03-29 14:55:01.333333248+00:00,0,2022-05-03,100 MHz,20220329,0.0,103.3833236694336,103.90441131591797,5.5116962149011055,0.7725645446777343,3,2.0846593595058995,1.7217583656311035,2.8119588351342113,6.139140956204818,100.67957506521829,106.60815992013328,0.0,0.0,5.5116962149011055,0.7725645446777343,3.0,0.0,2.0846593595058995,1.7217583656311035,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,342.8059768676758,342.8059768676758,POINT (541275.538724912 8672190.110747032),dronbreen
dronbreen-20220329-DAT_0249_A1_1,65.0,68,98.06825256347656,541326.8237950274,8672158.37459256,444.9556070963542,2022-03-29 14:55:19.666666752+00:00,0,2022-05-03,100 MHz,20220329,0.0,98.06825256347656,101.40320587158203,1.8709826780985144,1.5451064666748047,5,1.9792707910595584,0.8185232480367026,2.6409935943274045,2.8439531208623627,95.92640915838876,103.54504927666983,0.0,0.0,1.8709826780985144,1.5451064666748047,5.0,0.0,1.9792707910595584,0.8185232480367026,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,346.8873545328776,346.8873545328776,POINT (541326.8237950274 8672158.37459256),dronbreen
dronbreen-20220329-DAT_0249_A1_1,70.0,71,97.755615234375,541329.9868955193,8672156.052552147,444.85565185546875,2022-03-29 14:55:20.666666752+00:00,0,2022-05-03,100 MHz,20220329,0.0,97.755615234375,100.36103820800781,1.7345165503500886,1.8541549072265624,5,1.97307478924152,0.7902997334798177,2.8205475022894193,2.7433821199601613,95.6301510985499,102.48650234383291,0.0,0.0,1.7345165503500886,1.8541549072265624,5.0,0.0,1.97307478924152,0.7902997334798177,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,347.10003662109375,347.10003662109375,POINT (541329.9868955193 8672156.052552147),dronbreen
dronbreen-20220329-DAT_0249_A1_1,75.0,75,97.3387451171875,541334.2979800415,8672152.95938628,444.8161926269531,2022-03-29 14:55:22+00:00,0,2022-05-03,100 MHz,20220329,0.0,97.3387451171875,101.19476318359375,1.968289058685755,1.5451177780151366,5,1.9648136095812032,0.5645116170247396,2.5625289918535237,2.8378385621267217,95.29444428654847,103.23906401423278,0.0,0.0,1.968289058685755,1.5451177780151366,5.0,0.0,1.9648136095812032,0.5645116170247396,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,347.4774475097656,347.4774475097656,POINT (541334.2979800415 8672152.95938628),dronbreen
dronbreen-20220329-DAT_0249_A1_1,80.0,80,97.23452758789062,541338.7111980143,8672149.869372822,444.8164571126302,2022-03-29 14:55:23.333333248+00:00,0,2022-05-03,100 MHz,20220329,0.0,97.23452758789062,100.98634338378906,2.022725404024013,1.6996306869506834,5,1.962748415384943,0.22580464680989584,2.606168366134755,2.8275054625413465,95.25883300607464,102.96203796560505,0.0,0.0,2.022725404024013,1.6996306869506834,5.0,0.0,1.962748415384943,0.22580464680989584,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,347.58192952473956,347.58192952473956,POINT (541338.7111980143 8672149.869372822),dronbreen
dronbreen-20220329-DAT_0249_A1_1,85.0,84,97.13031005859375,541342.8870654943,8672147.020203402,444.81299845377606,2022-03-29 14:55:24.666666752+00:00,0,2022-05-03,100 MHz,20220329,0.0,97.13031005859375,99.8399429321289,1.7538189088721419,0.6180629470825195,5,1.960683261730824,0.22580464680989584,2.0681557963337034,2.640293043673341,95.1566670839521,101.81358590677056,0.0,0.0,1.7538189088721419,0.6180629470825195,5.0,0.0,1.960683261730824,0.22580464680989584,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,347.6826883951823,347.6826883951823,POINT (541342.8870654943 8672147.020203402),dronbreen
dronbreen-20220329-DAT_0249_A1_1,90.0,88,97.02609252929688,541346.6781269533,8672144.221249327,444.746337890625,2022-03-29 14:55:26+00:00,0,2022-05-03,100 MHz,20220329,0.0,97.02609252929688,99.42308044433594,1.5604740697528974,1.236091960144043,5,1.9586181487470884,0.7903162638346355,2.447183724900064,2.6259977478768293,94.91403551077606,101.53513746285675,0.0,0.0,1.5604740697528974,1.236091960144043,5.0,0.0,1.9586181487470884,0.7903162638346355,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,347.7202453613281,347.7202453613281,POINT (541346.6781269533 8672144.221249327),dronbreen
dronbreen-20220329-DAT_0249_A1_1,95.0,94,96.40078735351562,541350.6025648883,8672141.24031479,444.5992431640625,2022-03-29 14:55:27.333333248+00:00,0,2022-05-03,100 MHz,20220329,0.0,96.40078735351562,98.17247772216797,1.5256306433950113,1.8541435958862305,5,1.9462283321725369,1.467730204264323,3.0626598158507266,2.8756887059497176,93.96315803931282,100.61010703637078,0.0,0.0,1.5256306433950113,1.8541435958862305,5.0,0.0,1.9462283321725369,1.467730204264323,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,348.1984558105469,348.1984558105469,POINT (541350.6025648883 8672141.24031479),dronbreen
dronbreen-20220329-DAT_0249_A1_1,100.0,98,95.6712646484375,541354.6916220641,8672137.892265083,444.4580078125,2022-03-29 14:55:28.666666752+00:00,0,2022-05-03,100 MHz,20220329,0.0,95.6712646484375,97.3387451171875,1.590805795040126,1.5451290893554686,5,1.9317754403068041,1.2419172922770183,2.767948484961685,2.7937032752535615,93.37472052462249,99.63528924100251,0.0,0.0,1.590805795040126,1.5451290893554686,5.0,0.0,1.9317754403068041,1.2419172922770183,0.0,0.0,0.0,0.0,0.0,0.0,certain_cold,348.7867431640625,348.7867431640625,POINT (541354.6916220641 8672137.892265083),dronbreen
